Source	Target	Interaction_in_cancer	PMID
YAP1	TP53	1	31501420
TP53	IRX1	1	23284306
GNAI1	PDGFRA	1	29520106
GNAI1	EGFR	1	29520106
VHL	TET2	1	32963106
CDKN2A	CCND1	1	28042499
JDP2	TP53	1	31796886
CDKN2A	ZBTB17	1	19901969
EGFR	CDH2	1	19033391
ERBB2	CDH2	1	19033391
PIK3R1	YWHAZ	1	26839216
PIK3R1	UBR5	1	26839216
PIK3R1	KIF23	1	26839216
PIK3R1	UBC	1	26839216
PIK3R1	PPP1R12A	1	26839216
PIK3R1	PDGFRA	1	26839216
PIK3R1	SMARCA4	1	26839216
PIK3R1	SDHA	1	26839216
PIK3R1	KIF5B	1	26839216
PIK3R1	PSMC3	1	26839216
NTRK1	PIK3R1	1	25921289
PIK3R1	RACGAP1	1	26839216
IRS1	PIK3R1	1	26839216
PIK3R1	BCR	1	8781408
PIK3R1	SHC1	1	19889638
KAT6A	TP53	1	23431171
TP53	ESR1	1	21761334
TP53	AURKA	1	30013191
KAT5	TP53	1	23677994
BRD7	TP53	1	20228809
KAT2B	TP53	1	19680552
BECN1	TP53	1	28128446
TP53	BRCA2	1	20421506
SMYD3	TP53	1	31002112
CDKN1C	CDKN2A	1	20106982
PIK3R1	GAB2	1	26839216
RAC1	IQGAP1	1	31980649
CTCF	IQGAP1	1	30459231
BRD7	IQGAP1	1	30940648
MYC	IQGAP1	1	29467282
NTRK1	IQGAP1	1	25921289
BRAF	MAPK1	1	26627737
MDM2	HNRNPD	1	24798327
RAP1A	BRAF	1	16507992
MDM2	UBC	1	17170710
AURKA	TRRAP	1	28218735
MYC	TRRAP	1	32140074
MYC	NF1	1	29467282
PDGFRA	PDGFB	1	15767546
SHC2	EGFR	1	8610109
GNAS	EGFR	1	11185568
KIF4B	HDAC2	1	30021884
CDH11	PDGFRA	1	30876808
NTRK1	PDGFRA	1	25921289
CDKN2C	ST14	1	25640309
ERBB2	CYP17A1	1	25640309
EGFR	SGPL1	1	24189400
MDM2	SMARCA4	1	24583282
EGFR	HSPA5	1	24189400
EGFR	CDH1	1	24189400
ERBB2	ITGB1	1	12600989
UBA52	MDM2	1	30690837
RXRA	PIK3R1	1	20541701
ESRRB	EGFR	1	24189400
ESRRB	ERBB2	1	24189400
EGFR	SPRR1A	1	24189400
NTRK1	EGFR	1	25921289
RET	EGFR	1	28460442
CD44	EGFR	1	11606076
PIK3CA	IL24	1	25640309
MAPK3	ITGB3	1	23640055
SOX2	MAPK3	1	29556337
MYC	DST	1	29467282
NTRK1	PIK3CA	1	25921289
NTRK1	TBL1XR1	1	25921289
NTRK1	HIP1	1	25921289
ERBB2	PSMD3	1	31013812
ERBB2	IL13RA2	1	25640309
SDC1	ERBB2	1	20181947
ERBB2	MUCL1	1	25640309
ERBB2	CLCN6	1	25640309
STUB1	ERBB2	1	12239347
ERBB2	RHOBTB2	1	25640309
ERBB2	LYPD3	1	25640309
CDKN2A	KAT2B	1	28042499
KAT2B	MDM2	1	32404984
BRAF	NANOG	1	30595535
MDM2	UBE2K	1	21965653
ITGB3	SHC1	1	19889638
IGF1R	MDM2	1	28092675
MDM2	BRINP1	1	24583282
MECP2	TBL1XR1	1	28348241
JAK2	EGFR	1	24240702
BRCA1	MLH1	1	16786532
MYC	MLH1	1	29467282
NTRK1	MLH1	1	25921289
PIK3R1	ILF2	1	26839216
MAP3K1	HIP1	1	25260751
HUWE1	CDKN2A	1	26212014
NTRK1	QKI	1	25921289
AKT1	TNK2	1	25945695
FGFR1	AKT1	1	25945695
AKT1	GRIN2A	1	25640309
GSK3B	IQGAP1	1	30711629
ERBB2	STK24	1	25640309
TP53	HDAC1	1	19303885
MDM2	UBE2N	1	21965653
PRKCZ	SQSTM1	1	32354117
SQSTM1	PIK3R1	1	9564850
TP53	SQSTM1	1	27031960
SQSTM1	IQGAP1	1	30581152
KIT	CBL	1	25737303
PIK3R1	PTK2	1	19889638
ERBB2	PTK2	1	12600989
BCAR1	CDK7	1	33001583
CDK4	RB1	1	30833542
FGFR4	ERRFI1	1	25640309
ERRFI1	PSMA7	1	20351267
ERRFI1	YWHAZ	1	24189400
AURKA	ERRFI1	1	25640309
ESRRB	ERRFI1	1	24189400
EGFR	ERRFI1	1	26280531
GRB2	ERRFI1	1	20351267
ERBB2	ERRFI1	1	25640309
ERRFI1	CCT3	1	24189400
ERRFI1	OSTF1	1	20351267
SHC1	ERRFI1	1	24189400
RB1CC1	ERRFI1	1	25640309
ERRFI1	RAB18	1	20351267
SRC	ERRFI1	1	26280531
FGFR2	ERRFI1	1	25640309
GLI1	PRKCI	1	30389910
DYRK1A	CENPF	1	30979931
MYC	FIP1L1	1	29467282
NTRK1	FIP1L1	1	25921289
TP53	DOT1L	1	23284306
FGFR1	PTPN11	1	18022941
PTPN11	PIK3R1	1	9632795
PTPN11	PDGFRA	1	21996738
PIK3CA	PTPN11	1	26839216
PIK3R1	SFPQ	1	26839216
HRAS	NF1	1	30655611
HRAS	ERBB2	1	30655611
HRAS	ITGB3	1	30655611
EZH2	FLG	1	24457600
EGFR	MET	1	21918175
RPS6KB2	IQGAP1	1	25324306
RPS6KB2	BRAF	1	25324306
VAV1	ERBB4	1	32561640
BRCA1	TP53	1	26140185
CDK4	PRKAA1	1	30833542
CEBPA	CDK4	1	15107404
CDC37	CDK4	1	24189400
CUL4A	CDK4	1	30945288
NTRK1	CDK4	1	25921289
HSP90AA1	CDK4	1	26804907
USP21   CTNNB1		0	29490279
FRS2	CBL	1	20038681
MDM2	KRT2	1	24798327
CSNK1A1	MDM4	1	31462704
NTRK1	CDK6	1	25921289
PRMT5	GLI1	1	30675521
GLI1	RUNX3	1	31278361
KAT2B	GLI1	1	31278361
PRMT1	GLI1	1	26762411
MDM2	FOXO1	1	19321440
PIK3R1	PIK3CG	1	17595318
TP53	USP9X	1	31570706
VAV3	ERBB4	1	32561640
VAV2	ERBB4	1	32561640
FGFR1	PIK3R1	1	15117958
FGFR1	SHC1	1	18022941
FGFR1	GAB1	1	18022941
CD44	FGFR1	1	15597342
KRAS	EGFR	1	26627737
KRAS	PIK3CA	1	26627737
IL7R	PIK3R1	1	7522165
STAT3	RELA	1	33041664
ERBB2	PRDM14	1	25640309
TP53	DKK2	1	23284306
WWOX	MAPK9	1	18371080
MDM2	HIF1A	1	15385570
TP53	TERT	1	23284306
MDM2	TERT	1	26370108
MYC	MKI67	1	29467282
EGFR	SFN	1	24189400
STAG2	ANKK1	1	31010829
STAG2	IQGAP1	1	31010829
STAG2	HIP1R	1	31010829
STAG2	UBC	1	31010829
NTRK1	STAG2	1	25921289
STAG2	RORA	1	31010829
TRIB3	EGFR	1	32694521
TP53	BIRC6	1	25196217
ERBB2	ATP6AP1	1	25640309
ZFP91	HNRNPA1	1	32754263
ADGRE5	CTNNB1	0	29888202
MINK1	STRIP1	1	32640226
TNIK	STRIP1	1	32640226
MAP4K4	STRN	1	32640226
TXNDC12	CTNNB1	1	31570854
ANXA4	TP53	1	33125094
CDK12	CCNK	1	32494016
PARP1	E2F1	1	33050515
SMAD3	TGFBR1	0	29490279
ANXA4	NFKB1	1	33125094
MAP4K1	PPP2CA	1	32640226
MAP4K3	SH3GL1	1	32640226
IGF1R	SOCS1	1	32700452
PIN1	NFE2L2	1	32621833
MAP4K5	CTTN	1	32640226
CDK12	DDB1	1	32494016
TET2	EGLN1	1	32963106
TET2	EGLN3	1	32963106
MAP4K2	STRN4	1	32640226
MAP4K2	GABARAP	1	32640226
MAP4K2	GABARAPL2	1	32640226
MAP4K2	GABARAPL1	1	32640226
MIF	RPS3	0	25900216
CDK5RAP3	GABARAPL2	1	32851973
CDK5RAP3	GABARAPL1	1	32851973
BRD4	ASXL3	1	32669118
NR1H4	CTNNB1	0	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3487715
HIF1A	PEBP1	1	32562168
MAP4K1	STRN4	1	32640226
MAP4K3	STRN4	1	32640226
MINK1	STRN4	1	32640226
MAP4K4	STRN4	1	32640226
TNIK	STRN4	1	32640226
