Source	Target	Interaction_in_cancer
CDKN2A	ORC3	0
YWHAG	AKT1S1	1
YWHAG	STK11	1
YWHAZ	LATS2	1
ABCB5	EPHA2	1
ARAF	HRAS	1
ARAF	RASSF1	1
AURKA	CCNE1	1
BECN1	EPHA2	1
BRAF	YWHAZ	1
CBLC	CCND2	1
CCND2	AURKA	1
CCND2	CCNE1	1
CDK4	CCNE1	1
CDK4	CD44	1
CDK4	LATS2	1
CDK6	AKT1	1
CDKN2A	CCND2	1
CDKN2A	STK11	1
DACH1	MYC	1
DACH1	SOX3	1
EGFR	NF2	1
ERBB2	LATS2	1
FOXO1	YWHAZ	1
FZR1	ARNT	1
FZR1	STK11	1
GLIS2	ERBB2	1
GRM1	CCND2	1
HGF	MET	1
KDELR2	CCND2	1
KDELR2	ERBB2	1
KDELR2	KDELR2	1
KDELR2	NF2	1
KRAS	ARAF	1
LATS2	EPHA2	1
MET	CD44	1
MAP2K3	AURKA	1
MAP2K3	CCND2	1
MAP2K5	AKT1	1
MAP2K5	CD44	1
MAP2K5	CDKN2B	1
MAP2K5	ERBB2	1
MAP2K5	GRM1	1
MAP2K5	RAF1	1
MAP2K6	MAP2K5	1
MSH2	AKT1	1
MSH2	MYC	1
MYC	AURKA	1
MYC	KAT2A	1
MYC	HIF1A	1
NF2	CDK4	1
NF2	CDK6	1
NF2	CDKN2B	1
NF2	MAP2K3	1
NFIC	NFIC	1
PDGFRA	CDKN2B	1
PDGFRA	MYC	1
RAF1	MAP3K5	1
RAF1	TEAD2	1
SMAD1	SMAD2	1
SOX3	SOX3	1
SOX4	CDKN2A	1
STK11	LATS2	1
STK11	MAP2K3	1
TEAD2	EPHA2	1
YAP1	TEAD2	1
SMAD3	SMAD4	1
EPAS1	ARNT	1
HIF1A	CREBBP	1
FRAT1	DVL2	1
PPARG	RXRG	1
PAX8	RXRG	1
CYCS	APAF1	1
LYL1	TCF3	1
PAK1	TIAM1	1
IGF1	IGF1R	1
DCN	ERBB3	1
DCN	ERBB4	1
CD44	IQGAP1	1
CDK6	CCND1	1
CTNNB1	CSNK1A1	1
GSK3B	AXIN1	1
CDH1	JUP	1
PDCD1	PTPN11	1
EGF	EGF	1
EGF	SOS1	1
EGFR	SOS1	1
SOS1	SOS1	1
EGF	GAB1	1
EGFR	PIK3CA	1
GRB2	PIK3R1	1
ERBB2	NRG2	1
ERBB3	PIK3CA	1
ERBB3	PIK3R1	1
NRG2	NRG2	1
NRG1	NRG1	1
CDC37	ERBIN	1
ERBIN	ERBB2	1
SHC1	NRG1	1
NRG2	SOS1	1
NRG2	NRG3	1
NRG2	EREG	1
NRG2	ERBB4	1
NRG2	EGF	1
NRG3	SOS1	1
NRG3	EREG	1
NRG3	ERBB3	1
NRG3	ERBB2	1
NRG4	GRB2	1
NRG4	NRG1	1
NRG4	ERBB3	1
NRG4	EGF	1
NRG1	BTC	1
HBEGF	ERBB4	1
EREG	SOS1	1
EREG	ERBB4	1
BTC	SOS1	1
BTC	EGF	1
ERBB4	EGFR	1
ERBB4	ERBB2	1
AKT1	PDPK1	1
MDM2	MDM2	1
TSC2	TSC2	1
NR4A1	NR4A1	1
RPS6KB2	RPS6KB2	1
DLL4	NOTCH1	1
CREBBP	RBPJ	1
CREBBP	KAT2A	1
RBPJ	RBPJ	1
NOTCH1	MAML2	1
NOTCH1	MAML3	1
NOTCH1	EP300	1
NOTCH1	SNW1	1
NOTCH1	KAT2B	1
SNW1	EP300	1
MAML2	KAT2A	1
MAML1	MAML3	1
MAML3	MAML3	1
CDK8	CREBBP	1
CCNC	CCNC	1
MAML1	CDK8	1
EP300	CCNC	1
RBPJ	CCNC	1
NOTCH1	CCNC	1
NOTCH1	CDK8	1
KAT2B	CCNC	1
JAG2	JAG2	1
JAG1	RPS27A	1
NOTCH1	DLL1	1
NOTCH1	UBB	1
DLL4	UBB	1
UBB	UBB	1
UBB	RPS27A	1
TBL1X	SNW1	1
HDAC4	RBPJ	1
HDAC4	SNW1	1
HDAC3	RBPJ	1
HDAC1	SNW1	1
HDAC10	RBPJ	1
HDAC10	SNW1	1
NCOR1	HDAC11	1
NCOR1	HDAC9	1
NCOR1	HDAC1	1
NCOR2	HDAC9	1
NCOR2	HDAC5	1
NCOR2	HDAC10	1
TBL1X	HDAC8	1
HDAC6	HDAC6	1
HDAC6	HDAC2	1
HDAC6	HDAC3	1
HDAC6	HDAC9	1
HDAC6	HDAC1	1
HDAC8	HDAC7	1
HDAC8	HDAC1	1
HDAC8	HDAC10	1
HDAC11	HDAC9	1
HDAC2	HDAC9	1
HDAC2	HDAC1	1
HDAC7	HDAC1	1
HDAC7	HDAC10	1
HDAC1	HDAC10	1
CDC37	SHC1	1
GRB2	CDC37	1
PLCG1	CDC37	0
CBL	EGF	1
HBEGF	TGFA	1
EREG	AREG	1
TGFA	AREG	1
AREG	AREG	1
NFKBIA	NFKB2	0
NFKBIA	RELA	0
TP53	BAX	0
NKX3-1	AKT2	0
DAPK1	MAPK1	0
DAPK1	MAPK3	0
DAPK3	MAPK1	0
DAPK2	MAPK1	0
CEBPA	CSF3R	0
CEBPA	E2F1	0
